time_sec,mean,std,rms,peak,kurtosis,skewness,crest_factor,mean_abs,state,file
0.0,0.008417839384615385,0.06638467919729638,0.06691625850294632,0.20423446153846153,2.8256887719742054,-0.26896525036192304,3.052090270849036,0.05400113538461538,normal,Time_Normal_1_098
0.1,0.00908342676923077,0.06478635033637725,0.06542002622882222,0.20444307692307692,2.9242171940983472,-0.2094696317704923,3.1250839950443963,0.05233794923076923,normal,Time_Normal_1_098
0.2,0.009492104307692309,0.06278147616727948,0.06349499030577761,0.20444307692307692,2.999227053948372,-0.2643237559242995,3.2198300360158334,0.050918530153846155,normal,Time_Normal_1_098
0.3,0.009835380923076922,0.06416356517757182,0.06491300188867044,0.20486030769230767,2.786472891287174,-0.21477899139587076,3.1559210286354493,0.05273776061538461,normal,Time_Normal_1_098
0.4,0.010755479076923077,0.06281414212585434,0.06372830439593666,0.20486030769230767,2.7968964189279832,-0.26891612961558303,3.214589021850229,0.05197850492307692,normal,Time_Normal_1_098
0.5,0.010869383076923077,0.06383864945717943,0.06475736755759563,0.21132738461538458,2.968464455264444,-0.13846337314471505,3.2633720700185753,0.05196953446153846,normal,Time_Normal_1_098
0.6,0.011343148615384616,0.06453693587838125,0.06552620172939214,0.21132738461538458,3.1675951514925362,-0.08023599729162341,3.2250821661862408,0.051728792307692305,normal,Time_Normal_1_098
0.7,0.012818372307692307,0.06394512171800149,0.06521724664648638,0.21153599999999997,3.018372362837034,-0.16026615416079518,3.24355919449716,0.052166780307692305,normal,Time_Normal_1_098
0.8,0.012127229538461539,0.06318490118422597,0.06433818021936068,0.21153599999999997,2.7690219124083213,-0.14606272464447667,3.2878766430565665,0.051990500307692304,normal,Time_Normal_1_098
0.9,0.012218916,0.060877095838878105,0.0620912450027458,0.22780799999999998,2.9087123117753646,-0.3184271274320797,3.6689230501003136,0.050607901846153845,normal,Time_Normal_1_098
1.0,0.013541537538461537,0.065207914149569,0.06659913893319586,0.22780799999999998,2.9643088452356205,-0.16399976784825404,3.4205847650449237,0.053724198461538454,normal,Time_Normal_1_098
1.1,0.012017289230769229,0.0660188726745013,0.06710370175830821,0.21237046153846154,3.1334352069797484,-0.05099622683068854,3.1648099281224473,0.05290527876923076,normal,Time_Normal_1_098
1.2,0.010883047384615385,0.06329408295099107,0.06422290601477576,0.21153599999999997,3.137947929721147,-0.19649639380657674,3.293778078982161,0.051316464,normal,Time_Normal_1_098
